agent_group,agent_label,agent_name,training_seed,reward_alpha,episodes,performance_mean,performance_median,performance_std,performance_min,performance_max,performance_per_step_mean,performance_per_step_median,performance_per_step_std,score_available_episodes,score_mean,score_median,score_std,reward_mean,reward_median,reward_std,reward_min,reward_max,steps_mean,steps_median,steps_std,reward_per_step_mean,reward_per_step_median,reward_per_step_std,performance_sem,performance_ci95,performance_per_step_sem,performance_per_step_ci95
random,Random,random,0.0,0.0,50,280.0,230.0,168.75292892393946,140.0,1010.0,0.5341549218301598,0.47046874401134486,0.20825120503680913,0,0.0,0.0,0.0,280.0,230.0,168.75292892393946,140.0,1010.0,505.92,499.0,76.23161270437747,0.5341549218301598,0.47046874401134486,0.20825120503680913,23.86526807744181,46.77592543178595,0.029451167854359566,0.05772428899454475
dqn,DQN,dqn_500k_seed123,123.0,0.0,50,1105.6,940.0,229.53511135976294,850.0,1390.0,1.3340139544781966,1.1883691529709228,0.33189877547310254,0,0.0,0.0,0.0,1105.6,940.0,229.53511135976294,850.0,1390.0,842.32,858.0,82.3639112570003,1.3340139544781966,1.1883691529709228,0.33189877547310254,32.461166752579544,63.623886835055906,0.04693757496090843,0.09199764692338053
dqn,DQN,dqn_500k_seed456,456.0,0.0,50,665.2,680.0,59.11731677653466,600.0,750.0,1.307180199501937,1.3545816733067728,0.19503132511764487,0,0.0,0.0,0.0,665.2,680.0,59.11731677653466,600.0,750.0,517.0,490.0,68.61397489593799,1.307180199501937,1.3545816733067728,0.19503132511764487,8.360451115648182,16.386484186670437,0.027581594506896984,0.05405992523351809
dqn,DQN,dqn_500k_seed789,789.0,0.0,50,616.0,460.0,268.28251937851195,410.0,1150.0,0.8839097631352275,0.863697705802969,0.19449749710054157,0,0.0,0.0,0.0,616.0,460.0,268.28251937851195,410.0,1150.0,694.32,662.5,212.56599839454427,0.8839097631352275,0.863697705802969,0.19449749710054157,37.94087774527143,74.364120380732,0.02750609982472076,0.05391195565645269
dqn_reward_alpha0p001,DQN reward alpha=0.001,dqn_reward_500k_alpha0p001_seed123,123.0,0.001,50,884.8,1000.0,375.1257748259583,510.0,1420.0,1.3999497920102186,1.2277475467659515,0.44798932930697044,0,0.0,0.0,0.0,884.8,1000.0,375.1257748259583,510.0,1420.0,618.12,661.0,137.4837489468839,1.3999497920102186,1.2277475467659515,0.44798932930697044,53.050795835458594,103.97955983749884,0.06335525853043443,0.12417630671965148
dqn_reward_alpha0p001,DQN reward alpha=0.001,dqn_reward_500k_alpha0p001_seed456,456.0,0.001,50,430.2,310.0,336.51569997034403,130.0,980.0,0.8996936866889991,0.9920025395265012,0.34225604627345046,0,0.0,0.0,0.0,430.2,310.0,336.51569997034403,130.0,980.0,422.92,312.5,181.90991715457315,0.8996936866889991,0.9920025395265012,0.34225604627345046,47.59050668495359,93.27739310250904,0.04840231424441072,0.09486853591904501
dqn_reward_alpha0p001,DQN reward alpha=0.001,dqn_reward_500k_alpha0p001_seed789,789.0,0.001,50,660.6,620.0,106.98865093350523,570.0,820.0,1.090526660425054,1.1061560988031576,0.2857139060119948,0,0.0,0.0,0.0,660.6,620.0,106.98865093350523,570.0,820.0,630.08,562.5,117.62858183837008,1.090526660425054,1.1061560988031576,0.2857139060119948,15.130480117016399,29.65574102935214,0.04040604808407548,0.07919585424478795
dqn_reward_alpha0p01,DQN reward alpha=0.01,dqn_reward_500k_alpha0p01_seed123,123.0,0.01,50,514.0,440.0,194.84164161216276,330.0,890.0,1.1698797424813456,1.1924119241192412,0.0815579705134161,0,0.0,0.0,0.0,514.0,440.0,194.84164161216276,330.0,890.0,431.44,374.5,134.3735518194389,1.1698797424813456,1.1924119241192412,0.0815579705134161,27.554769208295856,54.00734764825987,0.011534038801969801,0.02260671605186081
dqn_reward_alpha0p01,DQN reward alpha=0.01,dqn_reward_500k_alpha0p01_seed456,456.0,0.01,50,563.0,540.0,255.96755215281104,260.0,950.0,1.2752868605320957,1.3550836891223033,0.3565270936235928,0,0.0,0.0,0.0,563.0,540.0,255.96755215281104,260.0,950.0,423.8,398.5,95.70213142445509,1.2752868605320957,1.3550836891223033,0.3565270936235928,36.19927837819479,70.9505856212618,0.05042054511559471,0.09882426842656564
dqn_reward_alpha0p01,DQN reward alpha=0.01,dqn_reward_500k_alpha0p01_seed789,789.0,0.01,50,647.4,670.0,113.90669292836814,500.0,800.0,1.333658779836787,1.3456695809636985,0.16045350488919022,0,0.0,0.0,0.0,647.4,670.0,113.90669292836814,500.0,800.0,485.52,446.5,66.76680098885758,1.333658779836787,1.3456695809636985,0.16045350488919022,16.108838998436575,31.573324436935685,0.022691552274459053,0.044475442457939746
